+------------------------------------------------------------------------------+--------------------------------------+--------------------------------------+------------------+------+---------+-------------------------------------------+--------------------------------------+
|                                     NAME                                     |               VERSION                |                 UUID                 |     VULN-ID      | CVSS |  EPSS   |              COMPONENT-NAME               |          COMPONENT-VERSION           |
+------------------------------------------------------------------------------+--------------------------------------+--------------------------------------+------------------+------+---------+-------------------------------------------+--------------------------------------+
|                       atlassian-pipelines-agent:latest                       |           1.0.1t-1+deb8u5            | 5e5bad65-6719-45dd-81c2-692b93d72fab |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u5            |
|                            atlassian-stash:latest                            |           1.0.1t-1+deb8u2            | a8531426-82a6-463a-93e7-1d57753d6a1d |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u2            |
|                     bitnami-debian-base-buildpack:latest                     |           1.0.1t-1+deb8u6            | 9f8d660d-5a44-41d3-b263-ffe0881d4c4f |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u6            |
|                         circleci-builder-base:latest                         |          1.0.1f-1ubuntu2.19          | 3ad90207-c6f7-45eb-8f0f-d16a964e8875 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |          1.0.1f-1ubuntu2.19          |
|                           circleci-cassandra:3.10                            |           1.0.1t-1+deb8u6            | 66de1b3e-a13f-49c3-8e9e-54c8d461c836 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u6            |
|                             circleci-java:latest                             |           1.0.1t-1+deb8u6            | bb5977ec-3edd-48c8-b8a8-63ca02604a25 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u6            |
|                    continuumio-conda-concourse-ci:latest                     |            1.0.1e-57.el6             | 5019d5c9-cac4-4798-84a3-d8eb19e1640e |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |            1.0.1e-57.el6             |
|                       cockroachdb-postgres-test:latest                       |           1.0.1k-3+deb8u4            | 6acce233-5c80-4678-aa6a-cfb75dc5eeca |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1k-3+deb8u4            |
|                   docker-example-voting-app-worker:latest                    |           1.0.1t-1+deb8u5            | 6cc1a0f6-145f-4dd2-81d4-a24caad939dc |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u5            |
|                            docker-whalesay:latest                            |          1.0.1f-1ubuntu2.11          | 9ea22e90-1983-4b9c-a0b2-0a25b03cfc10 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |          1.0.1f-1ubuntu2.11          |
|                        mirantis-rethinkcli:v2.2.0-ni                         |           1.0.1t-1+deb8u7            | 2c822f6c-8b6c-4584-9dda-275c7df38595 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u7            |
|                         onlyoffice-mailserver:latest                         |           1.0.1e-58.el6_10           | 98483bc0-288f-458e-b401-36e28f0fcd41 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1e-58.el6_10           |
|                             percona-proxysql:1.4                             |           1.0.1t-1+deb8u12           | 36b779a3-9ea5-497c-86c6-cfca7402aad3 |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |           1.0.1t-1+deb8u12           |
|                        rancher-agent-instance:v0.8.3                         |          1.0.1f-1ubuntu2.19          | 849b2d59-28b2-4b3a-b894-a280bd1e8e0f |  CVE-2014-0160   | 7.5  | 0.97588 |                  openssl                  |          1.0.1f-1ubuntu2.19          |
